run_id,model,prompt_style,domain,n_examples,n_correct,accuracy
20251106-142751,claude-3.5-sonnet,cot,chess,25,18,0.72
20251106-142751,claude-3.5-sonnet,cot,math,20,20,1.0
20251106-142751,claude-3.5-sonnet,cot,protocol,15,15,1.0
20251106-142751,claude-3.5-sonnet,direct,chess,25,16,0.64
20251106-142751,claude-3.5-sonnet,direct,math,20,20,1.0
20251106-142751,claude-3.5-sonnet,direct,protocol,15,12,0.8
20251106-142751,gpt-4.1,cot,chess,25,23,0.92
20251106-142751,gpt-4.1,cot,math,20,20,1.0
20251106-142751,gpt-4.1,cot,protocol,15,15,1.0
20251106-142751,gpt-4.1,direct,chess,25,21,0.84
20251106-142751,gpt-4.1,direct,math,20,15,0.75
20251106-142751,gpt-4.1,direct,protocol,15,15,1.0
20251106-142751,gpt-4o-mini,cot,chess,25,17,0.68
20251106-142751,gpt-4o-mini,cot,math,20,20,1.0
20251106-142751,gpt-4o-mini,cot,protocol,15,15,1.0
20251106-142751,gpt-4o-mini,direct,chess,25,15,0.6
20251106-142751,gpt-4o-mini,direct,math,20,17,0.85
20251106-142751,gpt-4o-mini,direct,protocol,15,15,1.0
20251106-142751,mistral-large-2407,cot,chess,25,21,0.84
20251106-142751,mistral-large-2407,cot,math,20,20,1.0
20251106-142751,mistral-large-2407,cot,protocol,15,15,1.0
20251106-142751,mistral-large-2407,direct,chess,25,15,0.6
20251106-142751,mistral-large-2407,direct,math,20,19,0.95
20251106-142751,mistral-large-2407,direct,protocol,15,15,1.0
